city,latitude,temperature (F),humidity (%),cloudiness (%),wind speed (mph)
shankargarh,25.19,57.76,74,68,4.5
north college hill,39.22,35.6,95,90,9.17
barma,8.35,85.75,31,0,4.79
la plaine,45.17,42.8,86,90,6.93
imperial,32.85,53.6,37,1,3.36
igurubi,-4.0,66.4,95,88,1.59
floriano,-6.77,86.78,77,12,5.12
biliran,11.47,80.84,98,64,16.13
silla,39.36,48.2,87,0,1.12
buguias,16.8,66.31,88,24,0.09
colon,41.3,21.2,67,90,3.36
udon thani,17.4,61.13,85,0,5.01
baturaden,-7.32,66.89,92,12,2.48
mvangue,2.97,73.06,91,76,2.33
horconcitos,8.47,79.4,76,80,2.77
aron,24.38,56.23,65,92,2.77
rizal,8.53,73.28,100,64,3.89
sa kaeo,13.8,72.7,71,0,5.35
kafar manda,32.81,68.0,77,20,3.36
chicaman,15.4,75.71,73,12,2.55
aldine,29.93,51.8,100,1,6.93
tivaouane,14.95,75.8,31,32,13.44
kilindoni,-7.91,84.13,98,0,18.32
shibganj,25.01,63.11,87,0,3.71
malayal,7.21,78.8,94,90,12.33
paravola,38.61,48.2,42,0,13.87
sun city,33.63,53.6,100,1,3.36
abadan,30.36,64.4,68,0,4.7
san andres,13.32,81.88,98,56,19.22
arsikere,13.31,59.56,80,0,4.56
legaspi,16.04,73.15,76,44,2.37
inhapi,-9.22,94.03,32,20,11.27
poplar bluff,36.76,39.2,80,90,14.99
salto,-31.39,77.0,73,75,16.11
chiquimulilla,14.09,89.6,59,5,4.7
butuan,8.95,76.03,100,24,8.41
el giral,9.25,89.6,59,40,12.75
gumaus,14.29,81.2,97,64,17.31
noumea,-22.28,66.2,88,0,6.58
claremont,34.1,60.8,15,75,3.36
tiguha,7.7,74.23,100,92,4.79
huizhou,23.11,50.11,88,0,2.89
jayuya,18.22,84.2,66,40,17.22
san giovanni in fiore,39.25,53.6,100,90,17.22
sibinal,15.15,89.6,59,20,4.7
paracambi,-22.61,96.8,41,40,8.05
brownsville,25.91,62.6,39,90,12.75
sangod,24.93,54.56,81,0,2.71
jilotepec,19.61,60.23,92,100,2.89
eenhana,-17.48,69.73,88,68,7.4
natividad,16.04,73.15,76,44,2.37
ankazobe,-18.32,68.0,94,40,5.82
grand bel air,-20.41,75.2,94,40,6.93
americus,32.07,73.4,72,90,11.41
alton,38.89,33.8,85,20,6.93
san agustin,10.2,73.55,83,36,2.71
bekasi,-6.23,78.8,83,20,2.24
covina,34.09,60.8,24,1,2.71
ozubulu,5.95,79.85,78,64,10.09
bozova,37.36,46.4,75,75,9.17
taguing,17.94,71.26,99,80,2.26
chon buri,13.36,77.0,61,0,3.36
florence,34.8,46.4,87,90,9.17
trojes,41.76,41.0,44,0,8.05
sao joao da boa vista,-21.97,80.6,69,0,5.82
castelbuono,37.93,46.78,80,0,8.81
cananea,30.98,53.6,18,1,9.17
jutai,-1.71,81.56,84,68,4.38
atop-atop,11.23,81.74,97,92,19.15
ocumare del tuy,10.11,82.4,74,40,6.93
khndzoresk,39.51,39.76,81,68,6.06
sinonoc,8.31,73.28,100,64,3.89
kifri,34.69,68.15,36,80,17.36
caranguejeira,39.74,53.6,71,0,2.24
agpangi,10.58,78.8,94,75,1.12
libas,10.94,77.33,100,80,7.58
melrose,42.46,35.6,100,90,4.7
grammatikou,38.53,48.2,42,0,13.87
changli,30.54,39.98,91,20,4.61
jalpaiguri,26.52,64.91,96,76,4.34
moalboal,9.94,80.6,94,90,4.7
huitziltepec,17.76,80.57,42,8,3.0
jiancheng,30.39,39.2,86,8,3.56
karang tengah,-7.58,61.22,93,0,2.59
madukkur,10.48,71.39,100,0,7.07
itanagar,27.1,53.93,87,0,2.82
catemaco,18.42,80.6,88,40,16.11
san juan del cesar,10.77,91.4,38,20,18.34
zafra,38.43,53.6,62,0,4.7
montemor-o-novo,38.65,51.8,76,0,5.82
rominimbang,7.5,67.07,100,24,2.33
karimpur,23.98,61.31,83,12,2.71
naruto,34.18,44.6,87,76,2.24
alot,23.76,58.07,76,0,2.89
tagbina,8.46,76.25,93,76,4.0
ximei,23.74,59.0,93,40,0.36
queretaro,32.55,55.4,18,75,5.28
sapul,13.37,73.46,100,92,4.72
dahod,22.84,63.11,73,48,3.0
villa constitucion,-33.23,77.0,65,75,18.34
jalu,29.03,56.41,60,0,12.17
ponta pora,-22.54,80.6,69,75,5.82
sayula,19.88,80.6,51,40,8.05
ambelon,39.75,37.4,74,20,9.17
kaman,39.36,32.33,98,92,7.85
nadiad,22.69,66.2,55,0,3.36
maribong,11.1,73.51,96,88,5.91
carangola,-20.73,87.1,62,36,3.83
calapi,11.94,77.06,100,12,8.93
el sauzal,-24.3,75.2,69,90,17.22
rio de oro,8.29,73.06,80,64,2.82
prado,-17.34,79.18,99,0,12.62
guilin,25.28,51.8,93,90,4.47
lahar,26.19,50.0,81,92,3.22
sopo,-9.81,70.4,98,80,1.36
nayagarh,20.13,61.22,99,0,3.27
sao francisco,-25.65,77.0,100,90,5.82
mariara,10.28,89.6,43,40,3.0
msowero,-6.53,76.34,68,80,5.35
atulayan,17.66,70.9,100,92,2.82
cikampek,-6.42,69.86,97,56,2.77
dacudao,7.22,77.0,94,90,3.36
lopez jaena,16.43,73.15,76,44,2.37
nguru,12.88,79.04,31,0,15.68
ewa beach,21.32,73.4,73,1,3.36
san pedro,-33.68,75.31,80,92,17.81
pompano beach highlands,26.28,80.6,57,40,9.17
alamogordo,32.9,46.4,28,1,5.82
prosperidad,8.61,76.25,93,76,4.0
uberaba,-19.75,78.59,84,80,9.31
san juan de abajo,20.82,80.6,69,75,2.24
evangelista,-28.64,72.29,100,92,10.87
ixtahuacan,15.42,76.93,31,8,2.55
georgetown,6.8,86.0,55,75,16.11
gemena,3.25,77.06,81,20,1.21
hayama,35.27,42.8,70,40,2.24
glamang,6.16,71.39,100,12,3.38
pasir gudang,1.46,82.4,78,75,5.82
salina,36.29,32.0,86,90,3.36
piraquara,-25.44,71.6,94,75,5.82
villagarzon,1.04,65.05,92,68,2.77
buba,11.59,79.4,60,8,6.58
lagoa seca,-7.16,76.25,88,68,8.41
iwakura,35.27,41.0,80,40,8.05
ramhormoz,31.28,54.65,79,32,2.71
pampas,-12.4,54.25,80,36,2.71
coracao de maria,-15.26,82.64,77,0,8.52
san pablo,14.07,78.8,100,75,13.85
castillejos,14.93,77.0,78,40,4.7
culubasa,15.14,77.0,83,75,4.7
tavares,-7.64,86.6,46,88,10.16
ubajara,-3.85,81.74,87,56,8.63
winter park,28.6,82.4,61,75,5.82
lingion,8.19,67.43,100,12,2.89
remanso,-9.62,90.65,59,0,7.74
catende,-8.67,78.91,69,80,10.83
banga,6.43,70.85,100,24,3.0
pemalang,-6.89,82.6,100,36,12.28
kharagpur,22.34,59.06,85,0,2.77
cuanajo,19.49,75.2,41,90,6.93
elizabethton,36.35,59.0,93,90,9.17
tambau,-21.7,80.6,74,75,5.82
dera ghazi khan,30.03,56.45,90,56,1.54
maitum,6.06,80.84,100,20,9.75
el copey,10.15,92.18,32,8,4.9
horana,6.72,77.0,73,5,10.29
jizan,16.89,75.2,60,0,3.36
areia branca,-10.76,82.4,65,75,11.41
chandia,23.65,50.65,84,24,2.77
san martin de las piramides,19.7,66.2,29,40,5.82
samarinda,-0.5,78.55,92,44,3.27
kpalime,6.9,80.93,41,0,0.81
san miguel,-34.54,73.4,49,90,10.29
saint charles,41.91,33.8,58,1,13.87
kirkwood,-33.4,66.2,77,0,11.41
opelousas,30.53,57.2,62,40,8.05
maoming,21.67,56.0,88,0,3.04
khandbari,27.38,30.76,67,64,1.48
birpur,26.52,61.49,80,36,5.23
perry hall,39.4,60.8,100,90,4.7
lod,31.94,66.2,77,40,11.41
caetes,-8.77,82.82,53,88,14.34
monterrey,25.67,60.8,29,90,5.82
quipot,13.96,78.59,88,68,13.85
tlaxco,19.61,71.6,17,40,2.24
toyo,10.73,77.33,100,80,7.58
puruliya,23.33,54.16,91,0,4.05
takaungu,-3.68,78.8,83,20,10.29
ninghai,29.29,55.4,100,75,4.47
morehead,38.18,44.6,93,90,12.75
san antonio,-33.58,74.23,61,0,5.28
los andes,-32.83,86.0,19,0,14.99
ruwi,23.6,68.0,68,0,2.24
kayattar,8.95,73.55,76,0,9.42
krishnarajasagara,12.41,63.43,89,0,7.14
amarwara,22.3,51.95,84,20,3.49
honghu,29.82,37.06,71,0,4.83
los reyes acozac,19.77,66.2,29,40,5.82
canubing,13.36,73.46,100,92,4.72
balagunan,7.49,77.0,94,90,3.36
clevelandia,-26.4,69.55,100,92,10.04
bahia de caraquez,-0.6,80.6,74,40,11.41
paraguari,-25.62,82.4,83,75,13.87
buyo,11.18,73.51,96,88,5.91
ibaraki,34.83,44.6,87,24,2.24
amla,21.92,55.91,79,0,2.21
bani walid,31.76,47.72,94,44,8.3
karuzi,-3.1,62.35,70,8,4.56
weslaco,26.16,64.4,38,90,9.17
caidian,30.59,41.0,86,36,5.35
valle hermoso,25.67,62.6,38,90,9.17
caririacu,-7.04,93.2,34,75,4.7
ulloa,4.7,80.6,61,40,2.24
canita,9.21,89.6,55,40,11.41
itinga,-16.61,86.51,58,8,8.52
berasia,23.63,60.8,63,80,5.82
pita,11.06,83.18,27,0,2.89
tabing,47.93,37.4,100,75,4.7
portmore,17.97,86.0,66,20,8.05
yook,13.23,81.02,98,68,18.32
naravarikuppam,13.2,75.2,83,20,10.6
montgomery,32.37,73.4,83,40,11.41
olney,52.15,48.2,93,90,12.75
kure,34.22,42.8,87,75,5.82
tanashi,35.73,42.8,69,1,3.36
ibatiba,-20.23,82.91,60,12,4.72
vadamadurai,10.47,62.84,94,0,2.37
kitama,-10.72,79.18,72,0,10.76
ghanaur,30.33,49.25,79,0,2.26
puranpur,28.51,44.8,82,0,3.78
jodar,37.84,39.08,91,0,2.04
spring,30.08,51.8,100,1,6.93
orange park,30.17,78.8,57,75,13.87
san juan pueblo,15.6,80.6,57,75,5.82
maanshan,31.7,48.2,66,0,4.47
tsubata,36.67,41.0,80,75,6.93
biak,-0.91,79.22,99,24,2.37
chavantes,-23.04,79.0,80,88,10.6
panguipulli,-39.64,68.0,37,0,9.17
ribeira do pombal,-10.84,87.5,48,64,12.17
buliran,15.55,77.0,83,75,4.7
ancuya,1.26,73.4,64,40,8.05
venezuela,21.74,81.11,74,64,9.37
itaquitinga,-7.66,86.0,88,75,9.17
russas,-4.93,84.89,66,56,12.1
cocotitlan,19.23,71.6,29,40,5.82
duluth,46.77,21.2,67,40,9.17
